num0,num1,num2,num3,num4
5,24,38,29,4
46,1,4,23,24
49,39,8,48,1
31,24,11,20,32
6,1,40,7,2
31,7,15,10,17
40,18,15,36,10
12,30,17,8,6
14,37,39,18,38
15,42,4,27,25
43,42,8,15,26
11,26,1,46,13
11,33,24,35,4
27,20,19,46,38
6,19,22,34,20
7,39,34,6,15
18,2,15,1,41
32,35,11,41,42
17,45,19,40,31
40,17,24,18,10
29,6,15,44,16
16,42,12,6,40
15,48,42,18,40
33,37,31,16,49
40,21,47,27,6
10,19,21,2,40
41,27,44,46,14
5,19,29,15,24
30,4,37,32,23
41,23,9,32,38
47,15,45,35,17
33,7,13,41,43
7,23,13,18,21
35,27,22,20,30
7,20,41,40,11
44,18,9,28,1
18,26,27,43,35
36,31,9,16,3
47,37,45,3,20
11,46,1,22,42
9,21,19,36,40
41,3,34,11,10
41,23,16,20,45
48,38,36,45,16
5,36,23,29,45
26,11,9,41,8
14,9,21,13,32
41,32,49,10,36
43,33,8,30,6
34,2,7,13,44
35,17,8,43,19
20,48,15,29,49
44,41,49,25,14
7,16,5,9,12
43,5,33,6,47
8,38,48,16,35
18,13,31,7,35
4,44,41,36,33
35,10,25,21,23
26,24,2,43,3
14,29,3,36,25
20,4,46,16,5
5,47,30,45,12
44,37,7,23,41
40,33,23,1,5
6,23,9,47,5
10,23,35,34,5
43,13,10,23,46
9,30,47,41,15
8,1,14,10,21
43,48,49,36,7
36,14,40,31,47
21,23,5,10,36
2,33,20,29,32
26,20,2,11,39
18,11,38,17,46
16,25,6,21,26
24,5,49,36,1
40,46,32,17,1
1,32,20,28,42
26,34,10,45,7
19,40,22,45,36
28,34,18,13,14
42,2,41,18,31
43,39,15,5,45
27,17,37,10,4
31,11,44,35,26
31,45,21,30,29
20,15,27,46,24
48,43,36,30,13
36,46,13,4,3
27,7,10,38,13
5,47,23,21,18
13,6,18,36,37
44,38,25,17,41
3,4,8,2,31
42,5,49,31,28
13,34,39,42,37
12,6,9,31,43
12,41,2,28,16
32,9,8,29,28
49,48,14,22,38
13,3,44,19,5
27,35,48,3,32
19,31,2,40,42
44,13,17,48,33
7,29,1,30,45
22,9,23,38,13
29,26,16,4,49
11,32,27,36,21
45,10,9,34,39
9,37,35,23,28
31,11,16,1,14
44,32,27,38,46
16,25,40,49,4
15,28,22,2,5
48,35,20,31,36
7,49,18,9,16
8,44,37,43,45
45,40,17,6,31
34,44,27,23,4
7,43,10,9,14
40,28,35,13,12
22,6,48,7,14
3,31,6,10,29
4,6,44,8,48
6,11,13,24,10
11,39,48,10,29
48,20,15,9,49
17,49,24,43,28
47,34,26,43,29
48,49,10,46,23
27,12,38,7,30
43,32,15,23,41
24,45,39,33,35
8,20,3,12,13
36,5,6,39,46
43,1,48,2,47
30,1,10,2,39
6,30,40,43,35
13,9,17,37,48
12,10,16,35,14
30,29,24,3,43
40,47,48,1,36
37,41,13,26,2
30,45,49,27,48
23,7,38,35,6
18,8,26,9,32
32,42,12,44,34
22,12,47,5,29
9,3,19,41,43
12,21,47,44,25
2,42,6,20,21
5,13,25,12,24
39,48,30,5,32
18,20,38,43,47
44,48,6,29,15
47,30,6,15,3
41,44,8,37,46
45,34,20,30,1
1,11,28,12,20
16,44,3,38,27
13,10,16,42,35
37,16,17,33,34
15,33,22,19,37
37,6,4,17,22
12,25,37,29,34
37,46,4,18,16
18,45,4,25,33
23,42,48,45,12
44,13,19,15,39
49,46,28,19,39
33,6,27,1,35
10,14,1,40,18
29,26,7,12,47
6,8,20,24,42
10,40,35,32,38
32,23,16,1,4
8,36,43,27,14
39,8,40,21,7
31,29,25,19,41
13,15,39,2,9
13,36,41,15,5
32,38,36,31,49
38,24,42,21,14
3,25,30,13,37
34,30,9,12,32
45,37,47,25,31
24,41,45,23,10
13,44,35,3,25
14,11,38,21,35
40,30,16,5,28
16,26,6,8,9
40,41,5,33,16
34,37,24,48,29
3,16,31,43,18
23,43,17,21,18
9,30,46,43,31
18,29,17,34,8
48,8,10,28,2
26,47,16,33,21
48,30,37,29,9
1,49,5,29,38
48,27,23,35,24
12,22,34,18,39
25,43,18,47,40
26,25,40,14,39
44,43,49,41,31
5,29,4,7,27
49,34,37,36,8
22,43,36,40,21
49,12,17,41,21
23,45,36,34,44
1,36,9,41,27
40,43,39,41,1
9,8,28,40,17
17,22,18,8,30
27,21,22,7,31
33,31,28,34,42
25,44,6,30,22
22,13,1,27,5
16,13,9,28,47
30,22,20,43,12
33,7,47,22,43
27,41,34,6,45
20,15,27,46,6
18,46,37,16,35
48,37,46,44,34
27,6,8,14,16
7,42,28,45,41
17,21,31,1,46
47,39,38,41,48
8,36,46,4,33
28,29,41,40,49
48,18,3,28,40
11,3,20,14,1
17,44,18,45,29
10,40,42,20,6
34,16,44,3,9
46,2,44,9,25
35,14,10,26,25
2,49,9,38,18
2,5,8,43,49
43,25,28,2,11
42,39,28,13,40
33,18,1,30,6
25,5,46,36,31
16,21,34,48,24
1,39,31,13,42
40,16,46,42,47
26,10,6,41,3
28,14,37,32,4
33,31,16,46,20
3,37,16,17,47
40,32,43,11,48
17,25,22,35,43
20,29,43,41,15
32,23,49,1,3
8,16,21,14,24
5,16,39,44,18
37,17,29,15,1
17,33,37,40,19
19,31,33,40,30
32,22,1,35,37
45,24,17,46,9
